target,category,shape,kernel,family,config,tile_m,tile_n,tile_k,threads_x,threads_y,average_ms,median_ms,min_ms,max_ms,stability_ratio,stable,tuning_score_ms,average_gflops,median_gflops
fused_square128,fused_square,128x128x128,naive_matmul,,,,,,,,0.299879,0.293188,0.262208,0.371709,1.267818,true,,13.986645,14.305852
fused_square128,fused_square,128x128x128,composed_bias_relu,scalar,m8n8k8_t8x8,8,8,8,8,8,0.200567,0.198729,0.194917,0.209917,1.056298,true,0.198729,20.912265,21.105646
fused_square128,fused_square,128x128x128,composed_bias_relu,scalar,m8n16k8_t16x8,8,16,8,16,8,0.209208,0.199333,0.196000,0.275375,1.381479,true,0.199333,20.048449,21.041641
fused_square128,fused_square,128x128x128,composed_bias_relu,scalar,m16n8k8_t8x16,16,8,8,8,16,0.479242,0.221521,0.195000,1.935291,8.736377,false,1.935291,8.751960,18.934115
fused_square128,fused_square,128x128x128,composed_bias_relu,scalar,m16n16k8_t16x16,16,16,8,16,16,0.208525,0.208958,0.194292,0.215875,1.033100,true,0.208958,20.114135,20.072426
fused_square128,fused_square,128x128x128,composed_bias_relu,scalar,m16n16k16_t16x16,16,16,16,16,16,0.208817,0.208791,0.204125,0.215542,1.032331,true,0.208791,20.086056,20.088481
fused_square128,fused_square,128x128x128,composed_bias_relu,scalar,m8n32k8_t32x8,8,32,8,32,8,0.208921,0.208812,0.203958,0.215375,1.031430,true,0.208812,20.076038,20.086508
fused_square128,fused_square,128x128x128,composed_bias_relu,scalar,m32n8k8_t8x32,32,8,8,8,32,0.202429,0.201375,0.195875,0.218625,1.085661,true,0.201375,20.719877,20.828325
fused_square128,fused_square,128x128x128,composed_bias_relu,scalar,m16n32k8_t32x16,16,32,8,32,16,0.217979,0.216125,0.212208,0.224708,1.039713,true,0.216125,19.241771,19.406843
fused_square128,fused_square,128x128x128,composed_bias_relu,scalar,m32n16k8_t16x32,32,16,8,16,32,0.250600,0.212104,0.203000,0.552167,2.603284,false,0.552167,16.737040,19.774752
fused_square128,fused_square,128x128x128,composed_bias_relu,scalar,m32n32k8_t32x32,32,32,8,32,32,0.211325,0.211062,0.205625,0.218708,1.036224,true,0.211062,19.847647,19.872332
fused_square128,fused_square,128x128x128,composed_bias_relu,scalar,m8n64k8_t64x8,8,64,8,64,8,0.208729,0.208875,0.201708,0.221666,1.061238,true,0.208875,20.094486,20.080450
fused_square128,fused_square,128x128x128,composed_bias_relu,scalar,m64n8k8_t8x64,64,8,8,8,64,0.209558,0.207375,0.198250,0.232042,1.118949,true,0.207375,20.014974,20.225697
