target,category,shape,iteration,temperature,current_config,candidate_config,accepted,current_score_ms,best_config,best_score_ms
square128,square,128x128x128,0,0.092993,m8n16k8_t16x8,m8n16k8_t16x8,true,0.293354,m8n16k8_t16x8,0.293354
square128,square,128x128x128,1,0.067397,m8n16k8_t16x8,m16n16k8_t16x16,false,0.293354,m8n16k8_t16x8,0.293354
square128,square,128x128x128,2,0.054605,m8n16k8_t16x8,m16n16k8_t16x16,false,0.293354,m8n16k8_t16x8,0.293354
square128,square,128x128x128,3,0.044241,m8n16k8_t16x8,m16n16k8_t16x16,false,0.293354,m8n16k8_t16x8,0.293354
square128,square,128x128x128,4,0.035844,m8n16k8_t16x8,m8n32k8_t32x8,false,0.293354,m8n16k8_t16x8,0.293354
square128,square,128x128x128,5,0.029041,m8n8k8_t8x8,m8n8k8_t8x8,true,0.327937,m8n16k8_t16x8,0.293354
square128,square,128x128x128,6,0.026302,m8n8k8_t8x8,sg_m16n16k8_t16x8,false,0.327937,m8n16k8_t16x8,0.293354
square128,square,128x128x128,7,0.021310,sg_m16n16k8_t8x16,sg_m16n16k8_t8x16,true,0.223770,sg_m16n16k8_t8x16,0.223770
square128,square,128x128x128,8,0.011781,sg_m16n16k8_t8x16,m16n8k8_t8x16,false,0.223770,sg_m16n16k8_t8x16,0.223770
square128,square,128x128x128,9,0.009545,sg_m16n16k8_t8x16,m16n8k8_t8x16,false,0.223770,sg_m16n16k8_t8x16,0.223770
square128,square,128x128x128,10,0.007733,sg_m16n16k8_t8x16,m16n16k8_t16x16,false,0.223770,sg_m16n16k8_t8x16,0.223770
square128,square,128x128x128,11,0.006266,sg_m16n16k8_t8x16,m16n16k8_t16x16,false,0.223770,sg_m16n16k8_t8x16,0.223770
square256,square,256x256x256,0,0.155538,m32n32k8_t32x32,m16n16k8_t16x16,false,0.548500,m32n32k8_t32x32,0.548500
square256,square,256x256x256,1,0.126016,m32n16k8_t16x32,m32n16k8_t16x32,true,0.519937,m32n16k8_t16x32,0.519937
square256,square,256x256x256,2,0.096781,m16n16k8_t16x16,m16n16k8_t16x16,true,0.563792,m32n16k8_t16x32,0.519937
square256,square,256x256x256,3,0.085026,sg_m16n16k8_t16x8,sg_m16n16k8_t16x8,true,0.428875,sg_m16n16k8_t16x8,0.428875
square256,square,256x256x256,4,0.052403,sg_m16n16k8_t16x8,m16n16k4_t16x16,false,0.428875,sg_m16n16k8_t16x8,0.428875
square256,square,256x256x256,5,0.042456,sg_m16n16k8_t16x8,m8n16k8_t16x8,false,0.428875,sg_m16n16k8_t16x8,0.428875
square256,square,256x256x256,6,0.034398,sg_m16n16k8_t16x8,m8n16k8_t16x8,false,0.428875,sg_m16n16k8_t16x8,0.428875
