target,category,shape,kernel,family,config,tile_m,tile_n,tile_k,threads_x,threads_y,average_ms,median_ms,min_ms,max_ms,stability_ratio,stable,tuning_score_ms,average_gflops,median_gflops
square128,square,128x128x128,naive,,,,,,,,0.388154,0.378812,0.295916,0.563791,1.488311,true,,10.805770,11.072243
square128,square,128x128x128,tiled,scalar,m8n8k8_t8x8,8,8,8,8,8,0.330917,0.327937,0.279042,0.391500,1.193825,true,0.327937,12.674807,12.789949
square128,square,128x128x128,tiled,scalar,m8n16k8_t16x8,8,16,8,16,8,0.297700,0.293354,0.264958,0.339125,1.156027,true,0.293354,14.089024,14.297756
square128,square,128x128x128,tiled,scalar,m16n8k8_t8x16,16,8,8,8,16,0.326058,0.273000,0.261292,0.704792,2.581660,false,0.704792,12.863663,15.363779
square128,square,128x128x128,tiled,scalar,m16n16k8_t16x16,16,16,8,16,16,0.338704,0.306479,0.259584,0.490209,1.599486,false,0.490209,12.383380,13.685453
square128,square,128x128x128,tiled,scalar,m16n16k16_t16x16,16,16,16,16,16,0.261741,0.257500,0.250291,0.277208,1.076536,true,0.257500,16.024604,16.288559
square128,square,128x128x128,tiled,scalar,m8n32k8_t32x8,8,32,8,32,8,0.393775,0.258833,0.244459,1.555167,6.008368,false,1.555167,10.651519,16.204641
square128,square,128x128x128,tiled,scalar,m32n8k8_t8x32,32,8,8,8,32,0.266400,0.265250,0.249709,0.281792,1.062364,true,0.265250,15.744390,15.812645
square128,square,128x128x128,tiled,scalar,m16n32k8_t32x16,16,32,8,32,16,0.263454,0.262479,0.253167,0.276375,1.052941,true,0.262479,15.920429,15.979579
square128,square,128x128x128,tiled,scalar,m32n16k8_t16x32,32,16,8,16,32,0.256467,0.257459,0.241125,0.274959,1.067974,true,0.257459,16.354179,16.291185
square128,square,128x128x128,tiled,scalar,m32n32k8_t32x32,32,32,8,32,32,0.342446,0.256395,0.245875,0.814000,3.174783,false,0.814000,12.248078,16.358727
square128,square,128x128x128,tiled,scalar,m8n64k8_t64x8,8,64,8,64,8,0.271604,0.257375,0.246458,0.337292,1.310508,true,0.257375,15.442695,16.296470
square128,square,128x128x128,tiled,scalar,m64n8k8_t8x64,64,8,8,8,64,0.254617,0.251146,0.235916,0.289833,1.154042,true,0.251146,16.473012,16.700660
square128,square,128x128x128,tiled,scalar,m16n64k8_t64x16,16,64,8,64,16,0.252488,0.252792,0.244417,0.262042,1.036593,true,0.252792,16.611927,16.591950
square128,square,128x128x128,tiled,scalar,m64n16k8_t16x64,64,16,8,16,64,0.268771,0.256291,0.246875,0.338292,1.319953,true,0.256291,15.605505,16.365397
square128,square,128x128x128,tiled,scalar,m16n16k4_t16x16,16,16,4,16,16,0.278942,0.273791,0.254291,0.356459,1.301936,true,0.273791,15.036495,15.319336
square128,square,128x128x128,tiled,scalar,m32n8k4_t8x32,32,8,4,8,32,0.301133,0.301875,0.261417,0.339458,1.124499,true,0.301875,13.928401,13.894175
square128,square,128x128x128,tiled,simdgroup,sg_m16n16k8_t32x4,16,16,8,32,4,0.290279,0.260583,0.213208,0.405125,1.554684,false,0.405125,14.449211,16.095816
square128,square,128x128x128,tiled,simdgroup,sg_m16n16k8_t16x8,16,16,8,16,8,0.317350,0.246333,0.222167,0.576583,2.340665,false,0.576583,13.216655,17.026968
square128,square,128x128x128,tiled,simdgroup,sg_m16n16k8_t8x16,16,16,8,8,16,0.227462,0.223770,0.210750,0.263250,1.176429,true,0.223770,18.439557,18.743775
square128,square,128x128x128,mps,,,,,,,,0.394900,0.370020,0.254209,0.673125,1.819156,false,,10.621180,11.335329
square256,square,256x256x256,naive,,,,,,,,0.970275,0.852792,0.778917,1.917166,2.248106,false,,34.582401,39.346584
square256,square,256x256x256,tiled,scalar,m8n8k8_t8x8,8,8,8,8,8,0.588154,0.586667,0.579375,0.600542,1.023651,true,0.586667,57.050399,57.195022
square256,square,256x256x256,tiled,scalar,m8n16k8_t16x8,8,16,8,16,8,0.594392,0.588479,0.580375,0.629208,1.069211,true,0.588479,56.451726,57.018911
square256,square,256x256x256,tiled,scalar,m16n8k8_t8x16,16,8,8,8,16,0.570121,0.570520,0.563458,0.579167,1.015155,true,0.570520,58.854941,58.813718
square256,square,256x256x256,tiled,scalar,m16n16k8_t16x16,16,16,8,16,16,0.564383,0.563792,0.557417,0.580000,1.028749,true,0.563792,59.453269,59.515676
square256,square,256x256x256,tiled,scalar,m16n16k16_t16x16,16,16,16,16,16,0.583325,0.577771,0.570458,0.614250,1.063137,true,0.577771,57.522705,58.075660
square256,square,256x256x256,tiled,scalar,m8n32k8_t32x8,8,32,8,32,8,0.676342,0.550500,0.523084,1.688625,3.067439,false,1.688625,49.611656,60.952647
square256,square,256x256x256,tiled,scalar,m32n8k8_t8x32,32,8,8,8,32,0.563525,0.563958,0.556792,0.570709,1.011971,true,0.563958,59.543843,59.498104
square256,square,256x256x256,tiled,scalar,m16n32k8_t32x16,16,32,8,32,16,0.603646,0.605001,0.528042,0.744625,1.230784,true,0.605001,55.586283,55.461825
square256,square,256x256x256,tiled,scalar,m32n16k8_t16x32,32,16,8,16,32,0.526192,0.519937,0.493125,0.599833,1.153664,true,0.519937,63.768468,64.535511
square256,square,256x256x256,tiled,scalar,m32n32k8_t32x32,32,32,8,32,32,0.551742,0.548500,0.535125,0.575708,1.049604,true,0.548500,60.815483,61.174899
square256,square,256x256x256,tiled,scalar,m8n64k8_t64x8,8,64,8,64,8,0.478817,0.469083,0.454250,0.566166,1.206962,true,0.469083,70.077823,71.531896
square256,square,256x256x256,tiled,scalar,m64n8k8_t8x64,64,8,8,8,64,2.430733,0.535687,0.447000,11.090042,20.702447,false,11.090042,13.804242,62.638072
square256,square,256x256x256,tiled,scalar,m16n64k8_t64x16,16,64,8,64,16,3.238079,0.900979,0.650333,18.335083,20.350178,false,18.335083,10.362450,37.242191
square256,square,256x256x256,tiled,scalar,m64n16k8_t16x64,64,16,8,16,64,0.805208,0.800667,0.653916,0.957625,1.196034,true,0.800667,41.671731,41.908099
square256,square,256x256x256,tiled,scalar,m16n16k4_t16x16,16,16,4,16,16,0.883746,0.794833,0.755666,1.679292,2.112759,false,1.679292,37.968425,42.215674
square256,square,256x256x256,tiled,scalar,m32n8k4_t8x32,32,8,4,8,32,0.732913,0.730605,0.717375,0.755500,1.034075,true,0.730605,45.782310,45.926944
square256,square,256x256x256,tiled,simdgroup,sg_m16n16k8_t32x4,16,16,8,32,4,0.440412,0.428771,0.417000,0.511916,1.193915,true,0.428771,76.188680,78.257233
square256,square,256x256x256,tiled,simdgroup,sg_m16n16k8_t16x8,16,16,8,16,8,0.430546,0.428875,0.413833,0.448250,1.045176,true,0.428875,77.934604,78.238256
square256,square,256x256x256,tiled,simdgroup,sg_m16n16k8_t8x16,16,16,8,8,16,0.755796,0.459500,0.430875,3.157500,6.871600,false,3.157500,44.396161,73.023791
square256,square,256x256x256,mps,,,,,,,,0.336196,0.329645,0.313958,0.366792,1.112686,true,,99.806250,101.789444
medium_rect,medium_rect,192x320x96,naive,,,,,,,,0.658696,0.434375,0.403917,2.033042,4.680384,false,,17.908838,27.157364
medium_rect,medium_rect,192x320x96,tiled,scalar,m8n8k8_t8x8,8,8,8,8,8,0.376417,0.365730,0.359583,0.433459,1.185190,true,0.365730,31.338894,32.254658
medium_rect,medium_rect,192x320x96,tiled,scalar,m8n16k8_t16x8,8,16,8,16,8,0.369229,0.368042,0.344791,0.391916,1.064869,true,0.368042,31.948953,32.052038
medium_rect,medium_rect,192x320x96,tiled,scalar,m16n8k8_t8x16,16,8,8,8,16,0.358413,0.357521,0.339750,0.385917,1.079425,true,0.357521,32.913138,32.995209
medium_rect,medium_rect,192x320x96,tiled,scalar,m16n16k8_t16x16,16,16,8,16,16,0.374871,0.363208,0.334667,0.508209,1.399221,true,0.363208,31.468113,32.478535
medium_rect,medium_rect,192x320x96,tiled,scalar,m16n16k16_t16x16,16,16,16,16,16,0.396229,0.397250,0.353750,0.448917,1.130062,true,0.397250,29.771852,29.695356
medium_rect,medium_rect,192x320x96,tiled,scalar,m8n32k8_t32x8,8,32,8,32,8,0.550904,0.392270,0.364792,1.980375,5.048493,false,1.980375,21.412939,30.072310
medium_rect,medium_rect,192x320x96,tiled,scalar,m32n8k8_t8x32,32,8,8,8,32,0.357879,0.358229,0.338292,0.375417,1.047980,true,0.358229,32.962175,32.929997
medium_rect,medium_rect,192x320x96,tiled,scalar,m16n32k8_t32x16,16,32,8,32,16,0.373804,0.373250,0.348792,0.395750,1.060281,true,0.373250,31.557920,31.604769
medium_rect,medium_rect,192x320x96,tiled,scalar,m32n16k8_t16x32,32,16,8,16,32,0.638529,0.434417,0.353542,1.656583,3.813348,false,1.656583,18.474454,27.154738
medium_rect,medium_rect,192x320x96,tiled,scalar,m32n32k8_t32x32,32,32,8,32,32,0.369296,0.367188,0.363750,0.381500,1.038979,true,0.367188,31.943165,32.126584
medium_rect,medium_rect,192x320x96,tiled,scalar,m8n64k8_t64x8,8,64,8,64,8,0.376621,0.372188,0.344625,0.427541,1.148723,true,0.372188,31.321894,31.694950
medium_rect,medium_rect,192x320x96,tiled,scalar,m64n8k8_t8x64,64,8,8,8,64,0.858300,0.379938,0.343208,3.097584,8.152878,false,3.097584,13.744002,31.048475
medium_rect,medium_rect,192x320x96,tiled,scalar,m16n64k8_t64x16,16,64,8,64,16,0.383562,0.380395,0.357917,0.439750,1.156034,true,0.380395,30.755040,31.011092
medium_rect,medium_rect,192x320x96,tiled,scalar,m64n16k8_t16x64,64,16,8,16,64,0.356038,0.350834,0.333500,0.388083,1.106174,true,0.350834,33.132680,33.624155
medium_rect,medium_rect,192x320x96,tiled,scalar,m16n16k4_t16x16,16,16,4,16,16,0.421575,0.420938,0.397333,0.451375,1.072309,true,0.420938,27.981932,28.024303
medium_rect,medium_rect,192x320x96,tiled,scalar,m32n8k4_t8x32,32,8,4,8,32,0.481904,0.430854,0.415875,0.906291,2.103476,false,0.906291,24.478895,27.379298
